"","shape","mean","se","length"
"1","square",0.0408496732026144,0.00800787024918286,612
"2","losange",0.107843137254902,0.0125486284878557,612
"3","rectangle",0.0375816993464052,0.00769395316171944,612
"4","parallelogram",0.0931372549019608,0.0117574162026848,612
"5","isoTrapezoid",0.0669934640522876,0.0101143494690756,612
"6","trapezoid",0.305555555555556,0.0186355940344241,612
"7","rightKite",0.233660130718954,0.0171191584960445,612
"8","kite",0.205882352941176,0.0163580442974785,612
"9","hinge",0.253267973856209,0.0175934868953669,612
"10","rustedHinge",0.282679738562091,0.0182172695520535,612
"11","random",0.444444444444444,0.0201025838958872,612
